Gene Symbol	CHR	Start	end	Strand	Ensembl ID	Gene Type	Also Known As	Cytogenetic Region	Description	Summary
HECA	chr6	139135112	139180802	+	ENSG00000112406.4	protein_coding	HDC|HDCL|HHDC|dJ225E12.1	6q24.1	hdc homolog, cell cycle regulator	This gene encodes the homolog of the Drosophila headcase protein, a highly basic, cytoplasmic protein that regulates the re-entry of imaginal cells into the mitotic cycle during adult morphogenesis. In Drosophila, the encoded protein also inhibits terminal branching of neighboring cells during tracheal development. [provided by RefSeq, Jul 2008]
HECTD1	chr14	31100112	31207804	-	ENSG00000092148.12	protein_coding	EULIR	14q12	HECT domain E3 ubiquitin protein ligase 1	Ubiquitous expression in thyroid (RPKM 22.9), testis (RPKM 20.1) and 25 other tissues
HECTD2	chr10	91409280	91514829	+	ENSG00000165338.16	protein_coding	-	10q23.32	HECT domain E3 ubiquitin protein ligase 2	-
HECTD4	chr12	112160188	112382439	-	ENSG00000173064.12	protein_coding	C12ord51|C12orf51|HEEL|POTAGE	12q24.13	HECT domain E3 ubiquitin protein ligase 4	Ubiquitous expression in brain (RPKM 8.7), bone marrow (RPKM 7.2) and 25 other tissues
HECW2	chr2	196194370	196593692	-	ENSG00000138411.10	protein_coding	NDHSAL|NEDL2	2q32.3	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	This gene encodes a member of a family of E3 ubiquitin ligases which plays an important role in the proliferation, migration and differentiation of neural crest cells as a regulator of glial cell line-derived neurotrophic factor (GDNF)/Ret signaling. This gene also plays an important role in angiogenesis through stabilization of endothelial cell-to-cell junctions as a regulator of angiomotin-like 1 stability. The encoded protein contains an N-terminal calcium/lipid-binding (C2) domain involved in membrane targeting, two-four WW domains responsible for cellular localization and substrate recognition, and a C-terminal homologous with E6-associated protein C-terminus (HECT) catalytic domain. Naturally occurring mutations in this gene are associated with neurodevelopmental delay, hypotonia, and epilepsy. The decreased expression of this gene in the aganglionic colon is associated with Hirschsprungs disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2017]
HEG1	chr3	124965710	125055958	-	ENSG00000173706.12	protein_coding	HEG|MST112|MSTP112	3q21.2	heart development protein with EGF like domains 1	Broad expression in thyroid (RPKM 26.8), lung (RPKM 26.7) and 23 other tissues
HEIH	chr5	180829954	180831605	-	ENSG00000278970.1	TEC	HCCAT2|LINC-HEIH|LINC00848|lncRNA-HEIH	5q35.3	hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA	-
HELB	chr12	66302545	66347645	+	ENSG00000127311.9	protein_coding	DHB|hDHB	12q14.3|12q	DNA helicase B	This gene encodes a DNA-dependent ATPase which catalyzes the unwinding of DNA necessary for DNA replication, repair, recombination, and transcription. This gene is thought to function specifically during the S phase entry of the cell cycle. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]
HELLS	chr10	94501434	94613905	+	ENSG00000119969.14	protein_coding	ICF4|LSH|Nbla10143|PASG|SMARCA6	10q23.33	helicase, lymphoid specific	This gene encodes a lymphoid-specific helicase. Other helicases function in processes involving DNA strand separation, including replication, repair, recombination, and transcription. This protein is thought to be involved with cellular proliferation and may play a role in leukemogenesis. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jan 2014]
HELQ	chr4	83407343	83455856	-	ENSG00000163312.10	protein_coding	HEL308	4q21.23	helicase, POLQ like	HEL308 is a single-stranded DNA-dependent ATPase and DNA helicase (Marini and Wood, 2002 [PubMed 11751861]).[supplied by OMIM, Mar 2008]
HELZ	chr17	67070438	67245989	-	ENSG00000198265.11	protein_coding	DHRC|DRHC|HUMORF5	17q24.2	helicase with zinc finger	HELZ is a member of the superfamily I class of RNA helicases. RNA helicases alter the conformation of RNA by unwinding double-stranded regions, thereby altering the biologic activity of the RNA molecule and regulating access to other proteins (Wagner et al., 1999 [PubMed 10471385]).[supplied by OMIM, Mar 2008]
HELZ2	chr20	63558086	63574239	-	ENSG00000130589.16	protein_coding	PDIP-1|PRIC285	20q13.33	helicase with zinc finger 2	The protein encoded by this gene is a nuclear transcriptional co-activator for peroxisome proliferator activated receptor alpha. The encoded protein contains a zinc finger and is a helicase that appears to be part of the peroxisome proliferator activated receptor alpha interacting complex. This gene is a member of the DNA2/NAM7 helicase gene family. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]
HEMGN	chr9	97926791	97944856	-	ENSG00000136929.12	protein_coding	CT155|EDAG|EDAG-1|NDR	9q22.33	hemogen	Biased expression in bone marrow (RPKM 77.2) and testis (RPKM 23.8)
HEMK1	chr3	50569152	50596168	+	ENSG00000114735.9	protein_coding	HEMK|MPRMC|MTQ1	3p21.31	HemK methyltransferase family member 1	Ubiquitous expression in thyroid (RPKM 4.4), ovary (RPKM 4.1) and 25 other tissues
HEPACAM2	chr7	93188586	93226524	-	ENSG00000188175.9	protein_coding	MIKI	7q21.2	HEPACAM family member 2	This gene encodes a protein related to the immunoglobulin superfamily that plays a role in mitosis. Knockdown of this gene results in prometaphase arrest, abnormal nuclear morphology and apoptosis. Poly(ADP-ribosylation) of the encoded protein promotes its translocation to centrosomes, which may stimulate centrosome maturation. A chromosomal deletion including this gene may be associated with myeloid leukemia and myelodysplastic syndrome in human patients. [provided by RefSeq, Oct 2016]
HERC1	chr15	63608618	63833942	-	ENSG00000103657.13	protein_coding	MDFPMR|p532|p619	15q22.31	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	This gen encodes a member of the HERC protein family. This protein stimulates guanine nucleotide exchange on ARF1 and Rab proteins. This protein may be involved in membrane transport processes. [provided by RefSeq, Mar 2012]
HERC2	chr15	28111040	28322152	-	ENSG00000128731.15	protein_coding	D15F37S1|MRT38|SHEP1|jdf2|p528	15q13.1	HECT and RLD domain containing E3 ubiquitin protein ligase 2	This gene belongs to the HERC gene family that encodes a group of unusually large proteins, which contain multiple structural domains. All members have at least 1 copy of an N-terminal region showing homology to the cell cycle regulator RCC1 and a C-terminal HECT (homologous to E6-AP C terminus) domain found in a number of E3 ubiquitin protein ligases. Genetic variations in this gene are associated with skin/hair/eye pigmentation variability. Multiple pseudogenes of this gene are located on chromosomes 15 and 16. [provided by RefSeq, Mar 2012]
HERC2P10	chr15	30815271	30844153	+	ENSG00000259845.1	unprocessed_pseudogene	-	15q13.2	HERC2 pseudogene 10	-
HERC2P9	chr15	28589492	28685264	+	ENSG00000206149.10	transcribed_unprocessed_pseudogene	-	15q13.1	HERC2 pseudogene 9	-
HERC3	chr4	88521048	88708542	+	ENSG00000138641.15	protein_coding	-	4q22.1	HECT and RLD domain containing E3 ubiquitin protein ligase 3	Ubiquitous expression in prostate (RPKM 6.4), thyroid (RPKM 5.6) and 25 other tissues
HERC4	chr10	67921899	68075348	-	ENSG00000148634.15	protein_coding	-	10q21.3	HECT and RLD domain containing E3 ubiquitin protein ligase 4	Ubiquitous expression in lymph node (RPKM 8.1), adrenal (RPKM 7.4) and 25 other tissues
HERC5	chr4	88457117	88506163	+	ENSG00000138646.8	protein_coding	CEB1|CEBP1	4q22.1	HECT and RLD domain containing E3 ubiquitin protein ligase 5	This gene is a member of the HERC family of ubiquitin ligases and encodes a protein with a HECT domain and five RCC1 repeats. Pro-inflammatory cytokines upregulate expression of this gene in endothelial cells. The protein localizes to the cytoplasm and perinuclear region and functions as an interferon-induced E3 protein ligase that mediates ISGylation of protein targets. The protein also acts as a modulator of the antiviral immune response. The gene lies in a cluster of HERC family genes on chromosome 4. [provided by RefSeq, Aug 2021]
HERC6	chr4	88378739	88443111	+	ENSG00000138642.14	protein_coding	-	4q22.1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	Ubiquitous expression in esophagus (RPKM 12.4), gall bladder (RPKM 7.3) and 25 other tissues
HERPUD1	chr16	56932048	56944863	+	ENSG00000051108.14	protein_coding	HERP|Mif1|SUP	16q13	homocysteine inducible ER protein with ubiquitin like domain 1	The accumulation of unfolded proteins in the endoplasmic reticulum (ER) triggers the ER stress response. This response includes the inhibition of translation to prevent further accumulation of unfolded proteins, the increased expression of proteins involved in polypeptide folding, known as the unfolded protein response (UPR), and the destruction of misfolded proteins by the ER-associated protein degradation (ERAD) system. This gene may play a role in both UPR and ERAD. Its expression is induced by UPR and it has an ER stress response element in its promoter region while the encoded protein has an N-terminal ubiquitin-like domain which may interact with the ERAD system. This protein has been shown to interact with presenilin proteins and to increase the level of amyloid-beta protein following its overexpression. Alternative splicing of this gene produces multiple transcript variants encoding different isoforms. The full-length nature of all transcript variants has not been determined. [provided by RefSeq, Jan 2013]
HERPUD2	chr7	35632659	35695571	-	ENSG00000122557.9	protein_coding	-	7p14.2	HERPUD family member 2	-
HES3	chr1	6244192	6245578	+	ENSG00000173673.7	protein_coding	bHLHb43	1p36.31	hes family bHLH transcription factor 3	Low expression observed in reference dataset
HES4	chr1	998962	1000172	-	ENSG00000188290.10	protein_coding	bHLHb42	1p36.33	hes family bHLH transcription factor 4	Broad expression in fat (RPKM 3.0), prostate (RPKM 2.2) and 19 other tissues
HES5	chr1	2528745	2530245	-	ENSG00000197921.5	protein_coding	bHLHb38	1p36.32	hes family bHLH transcription factor 5	This gene encodes a member of a family of basic helix-loop-helix transcriptional repressors. The protein product of this gene, which is activated downstream of the Notch pathway, regulates cell differentiation in multiple tissues. Disruptions in the normal expression of this gene have been associated with developmental diseases and cancer. [provided by RefSeq, Dec 2008]
HES6	chr2	238238267	238240662	-	ENSG00000144485.10	protein_coding	C-HAIRY1|HES-6|bHLHb41|bHLHc23	2q37.3	hes family bHLH transcription factor 6	This gene encodes a member of a subfamily of basic helix-loop-helix transcription repressors that have homology to the Drosophila enhancer of split genes. Members of this gene family regulate cell differentiation in numerous cell types. The protein encoded by this gene functions as a cofactor, interacting with other transcription factors through a tetrapeptide domain in its C-terminus. Alternatively spliced transcript variants encoding different isoforms have been described.[provided by RefSeq, Dec 2008]
HES7	chr17	8120590	8124092	-	ENSG00000179111.8	protein_coding	SCDO4|bHLHb37	17p13.1	hes family bHLH transcription factor 7	This gene encodes a member of the hairy and enhancer of split family of bHLH transcription factors. The mouse ortholog of this gene is regulated by Notch signaling. The protein functions as a transcriptional repressor, and is implicated in correct patterning of the axial skeleton. A mutation in this gene has been shown to result in spondylocostal dysostosis. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Sep 2009]
HESX1	chr3	57197843	57226521	-	ENSG00000163666.8	protein_coding	ANF|CPHD5|RPX	3p14.3	HESX homeobox 1	This gene encodes a conserved homeobox protein that is a transcriptional repressor in the developing forebrain and pituitary gland. Mutations in this gene are associated with septooptic dysplasia, HESX1-related growth hormone deficiency, and combined pituitary hormone deficiency. [provided by RefSeq, Jul 2008]
HEXA	chr15	72340919	72376476	-	ENSG00000213614.9	protein_coding	TSD	15q23	hexosaminidase subunit alpha	This gene encodes a member of the glycosyl hydrolase 20 family of proteins. The encoded preproprotein is proteolytically processed to generate the alpha subunit of the lysosomal enzyme beta-hexosaminidase. This enzyme, together with the cofactor GM2 activator protein, catalyzes the degradation of the ganglioside GM2, and other molecules containing terminal N-acetyl hexosamines. Mutations in this gene lead to an accumulation of GM2 ganglioside in neurons, the underlying cause of neurodegenerative disorders termed the GM2 gangliosidoses, including Tay-Sachs disease (GM2-gangliosidosis type I). Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed. [provided by RefSeq, Jan 2016]
HEXA-AS1	chr15	72376113	72378788	+	ENSG00000260339.1	antisense	C15orf34	15q23	HEXA antisense RNA 1	-
HEXB	chr5	74640023	74722647	+	ENSG00000049860.13	protein_coding	ENC-1AS|HEL-248|HEL-S-111	5q13.3	hexosaminidase subunit beta	Hexosaminidase B is the beta subunit of the lysosomal enzyme beta-hexosaminidase that, together with the cofactor GM2 activator protein, catalyzes the degradation of the ganglioside GM2, and other molecules containing terminal N-acetyl hexosamines. Beta-hexosaminidase is composed of two subunits, alpha and beta, which are encoded by separate genes. Both beta-hexosaminidase alpha and beta subunits are members of family 20 of glycosyl hydrolases. Mutations in the alpha or beta subunit genes lead to an accumulation of GM2 ganglioside in neurons and neurodegenerative disorders termed the GM2 gangliosidoses. Beta subunit gene mutations lead to Sandhoff disease (GM2-gangliosidosis type II). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2014]
HEXD	chr17	 82418347	82442645	+	ENSG00000169660	protein-coding	HEXDC	17q25.3	hexosaminidase D	Ubiquitous expression in spleen (RPKM 11.1), prostate (RPKM 7.3) and 25 other tissues
HEXIM1	chr17	45148502	45152101	+	ENSG00000186834.3	protein_coding	CLP1|EDG1|HIS1|MAQ1	17q21.31	HEXIM P-TEFb complex subunit 1	Expression of this gene is induced by hexamethylene-bis-acetamide in vascular smooth muscle cells. This gene has no introns. [provided by RefSeq, Jul 2008]
